facility_id,fixture_version,id,equipment_id,point_name,display_name,point_type,data_type,unit,normal_min,normal_max,source_system,description,created_at,updated_at
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,EXHAUST-SHARED_DAMPER_POSITION,DAMPER-EXHAUST-SHARED,POSITION,Shared Exhaust Damper Position,damper_position,analog,%,,,SYNTHETIC,Observed shared-path damper position,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,TREATMENT_PERMISSIVE_STATUS,MONITOR-TREATMENT,PERMISSIVE,Treatment Permissive,treatment_permissive,boolean,,,,SYNTHETIC,Observed treatment permissive without command authority,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,SUPPLY-MAKEUP_STATUS,MONITOR-SUPPLY-MAKEUP,STATUS,Supply or Makeup Air Status,supply_makeup_status,boolean,,,,SYNTHETIC,Observed supply or makeup-air availability,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,PROCESS-LAB_ZONE_PRESSURE,SENSOR-PRESSURE-PROCESS-LAB,ZONE_PRESSURE,Process Laboratory Zone Pressure,zone_pressure,analog,Pa,,,SYNTHETIC,Observed process-laboratory zone pressure,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,CORRIDOR-TRANSITION_DIFFERENTIAL_PRESSURE,SENSOR-DP-CORRIDOR-TRANSITION,DIFFERENTIAL_PRESSURE,Corridor to Transition Differential Pressure,differential_pressure,analog,Pa,,,SYNTHETIC,Observed differential pressure across the corridor transition boundary,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,TRANSITION-LAB_DIFFERENTIAL_PRESSURE,SENSOR-DP-TRANSITION-LAB,DIFFERENTIAL_PRESSURE,Transition to Laboratory Differential Pressure,differential_pressure,analog,Pa,,,SYNTHETIC,Observed differential pressure across the transition laboratory boundary,2026-07-20 00:00,2026-07-20 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,PROCESS_ENABLED_STATUS,CONTROLLER-PROCESS-EXHAUST,PROCESS_ENABLED_STATUS,Process-Enabled Operating Context,process_enabled_status,boolean,,,,SYNTHETIC,External controller-reported process-enabled operating context that does not prove process operation,2026-07-23 00:00,2026-07-23 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,PROCESS_PERMISSIVE_STATUS,CONTROLLER-PROCESS-EXHAUST,PROCESS_PERMISSIVE_STATUS,Process Permissive Indication,process_permissive_status,boolean,,,,SYNTHETIC,External controller-reported process permissive without FacilityOps command authority,2026-07-23 00:00,2026-07-23 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,FAN-EXHAUST-DUTY_REQUEST,FAN-EXHAUST-DUTY,REQUEST,Duty Exhaust Fan Controller Request,controller_request,boolean,,,,SYNTHETIC,External controller request indication concerning the duty fan,2026-07-23 00:00,2026-07-23 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,FAN-EXHAUST-DUTY_CONTROLLER_EXECUTION_STATUS,FAN-EXHAUST-DUTY,CONTROLLER_EXECUTION_STATUS,Duty Fan Controller-Reported Execution,controller_execution_status,string,,,,SYNTHETIC,Controller assertion concerning its duty-fan execution that does not prove physical effect,2026-07-23 00:00,2026-07-23 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,FAN-EXHAUST-DUTY_VFD_STATE,FAN-EXHAUST-DUTY,VFD_STATE,Duty Exhaust Fan VFD State,vfd_state,string,,,,SYNTHETIC,VFD-reported state indication that does not establish motor response or airflow,2026-07-23 00:00,2026-07-23 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,FAN-EXHAUST-DUTY_MOTOR_CURRENT,FAN-EXHAUST-DUTY,MOTOR_CURRENT,Duty Exhaust Fan Motor Current,motor_current,analog,A,,,SYNTHETIC,Reported duty-fan motor-current indication that does not establish airflow,2026-07-23 00:00,2026-07-23 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,FAN-EXHAUST-STANDBY_REQUEST,FAN-EXHAUST-STANDBY,REQUEST,Standby Exhaust Fan Controller Request,controller_request,boolean,,,,SYNTHETIC,External controller request indication concerning the standby fan,2026-07-23 00:00,2026-07-23 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,FAN-EXHAUST-STANDBY_CONTROLLER_EXECUTION_STATUS,FAN-EXHAUST-STANDBY,CONTROLLER_EXECUTION_STATUS,Standby Fan Controller-Reported Execution,controller_execution_status,string,,,,SYNTHETIC,Controller assertion concerning its standby-fan execution that does not prove physical effect,2026-07-23 00:00,2026-07-23 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,FAN-EXHAUST-STANDBY_VFD_STATE,FAN-EXHAUST-STANDBY,VFD_STATE,Standby Exhaust Fan VFD State,vfd_state,string,,,,SYNTHETIC,VFD-reported state indication that does not establish motor response or airflow,2026-07-23 00:00,2026-07-23 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,FAN-EXHAUST-STANDBY_MOTOR_CURRENT,FAN-EXHAUST-STANDBY,MOTOR_CURRENT,Standby Exhaust Fan Motor Current,motor_current,analog,A,,,SYNTHETIC,Reported standby-fan motor-current indication that does not establish airflow,2026-07-23 00:00,2026-07-23 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,TREATMENT_AVAILABILITY_STATUS,MONITOR-TREATMENT,AVAILABILITY_STATUS,Treatment Availability Indication,treatment_availability,boolean,,,,SYNTHETIC,Reported treatment-availability indication that does not prove treatment performance,2026-07-23 00:00,2026-07-23 00:00
FACILITY-ADVANCED-MATERIALS-RESEARCH,1.1.0,SUPPLY-MAKEUP_AIRFLOW,SENSOR-SUPPLY-MAKEUP-AIRFLOW,AIRFLOW,Delivered Supply or Makeup-Air Response,supply_makeup_airflow,analog,m3/s,,,SYNTHETIC,Reported delivered supply or makeup-air response separate from controller status,2026-07-23 00:00,2026-07-23 00:00
